insee;gid;lon;lat
69386;6165;4,8584823;45,7672525
69383;6166;4,85749;45,7599816
69386;6167;4,8467467;45,7783108
69382;6168;4,8333894;45,7579759
69034;6169;4,8471718;45,7940561
69266;6170;4,8963122;45,7602149
69389;6171;4,7934502;45,7838145
69259;6172;4,8794077;45,7145926
69384;6173;4,8297053;45,7748701
69259;6174;4,9027392;45,7173946
69034;6175;4,849422;45,7946681
69256;6176;4,9291964;45,7771975
69290;6177;4,9464695;45,7000226
69386;6178;4,8467014;45,7803808
69383;6179;4,8788189;45,743361
69383;6180;4,8521167;45,7593289
69384;6181;4,8113812;45,7757758
69386;6182;4,8574777000000005;45,7847569
69387;6183;4,8313967;45,7308917
69276;6184;4,8551044999999995;45,6674533
69385;6185;4,8254035;45,7577969
69382;6186;4,8326109;45,7567551
69266;6187;4,898889;45,7656991
69386;6188;4,8549;45,7842901
69256;6189;4,9237024;45,7778966
69382;6190;4,8298375;45,7572909
69259;6191;4,8806135;45,6942048
69034;6192;4,8414569;45,7794762
69256;6193;4,9215667;45,7782605
69383;6194;4,8841712;45,7449949
69384;6195;4,8399959;45,7766338
69276;6196;4,8608226;45,6749621
69381;6197;4,8262133;45,7716802
69383;6198;4,8769909;45,7478334
69266;6199;4,8957618;45,7603569
69386;6200;4,8417694000000004;45,7681086
69266;6201;4,8834596999999995;45,7593427
69383;6202;4,8453543;45,7622621
69389;6203;4,7934689;45,7838865
69256;6204;4,9275985;45,7871297
69279;6205;5,0432664;45,7940189
69386;6206;4,8535196;45,7742285
69383;6207;4,8451414;45,7633352
69259;6208;4,9030023;45,7147791
69382;6209;4,8309071;45,7572864
69387;6210;4,8238272;45,7276053
69088;6211;4,8631089;45,821178
69386;6212;4,8539933;45,7853877
69256;6213;4,9276765;45,7876876
69199;6214;4,8595137;45,7045662
69381;6215;4,8326805;45,7729528
69143;6216;4,8314898;45,8803243
69266;6217;4,9192437;45,7567687
69383;6218;4,8516638;45,7612638
69384;6219;4,8130637;45,7748005
69276;6220;4,8604712;45,6743427
69388;6221;4,8760924;45,7323973
69259;6222;4,8977357999999995;45,7159637
69385;6223;4,8202555;45,766738
69034;6224;4,8520473;45,8000638
69383;6225;4,8405463;45,7613137
69256;6226;4,9204066;45,7706539
69256;6227;4,9271902;45,7875048
69382;6228;4,8321793;45,7571609
69386;6229;4,8571431;45,7848271
69029;6230;4,8970915;45,7243196
69068;6231;4,8303669;45,8453862
69384;6232;4,8299467;45,7750371
69266;6233;4,8766204;45,7716238
69266;6234;4,870102;45,7827849
